query,tuple,response
"""Can someone help me find a vegan recipe I can whip up quickly with general pantry items? Asian cuisine would be awesome and I'd love something easy for a beginner!""","(vegan, general_pantry, Asian, beginner_easy_low_effort, quick_under_30_mins, short_keywords_minimal_detail)","## Salteado Vegano Rápido al Estilo Asiático
Un plato sencillo, lleno de sabor y realmente rápido de preparar, ideal para principiantes y perfecto para aprovechar ingredientes comunes de la despensa con un toque asiático.

### Ingredientes
* 150 g de fideos de arroz o fideos de trigo (si no tienes, puedes usar espaguetis integrales)
* 1 cucharada (15 ml) de aceite de sésamo o aceite vegetal
* 2 dientes de ajo (aproximadamente 10 g), picados finamente
* 1 cebolla pequeña (aproximadamente 100 g), cortada en juliana (cortes de 5 mm)
* 150 g de zanahoria, cortada en tiras finas
* 120 g de brotes de soja (opcional, pero recomendable)
* 60 ml de salsa de soja baja en sal
* 1 cucharadita (5 ml) de miel o si prefieres, 3 gotas de stevia líquida
* 1 cucharadita (5 ml) de vinagre de arroz o jugo de limón
* 1 puñado de cebollín fresco (aproximadamente 15 g), picado

### Instrucciones
1. Cocina los fideos según las instrucciones del paquete, escúrrelos bien y resérvalos.
2. En una sartén grande o wok, calienta el aceite de sésamo a fuego medio-alto.
3. Añade el ajo picado y la cebolla en juliana, saltea por aproximadamente 2 minutos hasta que la cebolla esté translúcida.
4. Incorpora la zanahoria y saltea durante 3 minutos más hasta que esté un poco tierna pero aún crujiente.
5. Agrega los brotes de soja y mezcla por 1 minuto para conservar su textura.
6. Añade los fideos cocidos a la sartén y vierte la salsa de soja, miel y vinagre de arroz. Mezcla bien para que los fideos se impregnen de la salsa.
7. Cocina por 2 minutos más mientras mezclas constantemente para evitar que se pegue.
8. Sirve caliente espolvoreado con cebollín fresco picado.

### Consejos
* Puedes agregar tofu firme cortado en cubos para aumentar la proteína.
* Ajusta la cantidad de salsa de soja según tu preferencia de salinidad.
* Si te gusta el picante, agrega un poco de chile rojo fresco o en polvo al salteado.

Disfruta este delicioso y nutritivo salteado vegano, ¡una carta ganadora para repasos rápidos con sabor asiático!"
"""Hey guys, I'm looking for a gluten-free Mediterranean dish that uses specific ingredients I already have. I’d appreciate something that's intermediate in effort but doable within 60 mins. Any ideas?""","(gluten-free, must_use_specific, Mediterranean, intermediate_moderate_effort, moderate_30_to_60_mins, natural_question_moderate_detail)","¡Claro! Para ayudarte mejor, ¿podrías decirme qué ingredientes específicos tienes disponibles? Así puedo sugerirte una receta mediterránea sin gluten, que sea de dificultad media y que puedas preparar en menos de una hora."
"""Looking for a keto recipe but not picky on specific ingredients. I want something American-style, but it should be pretty advanced and complex. No rush on the time, so I’d like detailed guidance.""","(keto, no_specific_ingredients, American, advanced_complex_high_effort, flexible_no_time_constraint, natural_question_moderate_detail)","## Pastel de Carne Keto con Salsa de Champiñones y Puré de Coliflor

Este pastel de carne keto es un clásico americano llevado al siguiente nivel, con una salsa cremosa de champiñones y un puré de coliflor mantecoso que sustituye a las papas. Es un plato reconfortante, elegante y perfecto para una cena especial o un fin de semana sin prisas.

### Ingredientes

Para el pastel de carne:
* 600 g de carne molida de res (80% magra)
* 200 g de carne molida de cerdo
* 1 cebolla mediana (aproximadamente 120 g), finamente picada
* 2 dientes de ajo grandes (aproximadamente 6 g), picados muy finos
* 2 huevos grandes (aproximadamente 100 g)
* 50 g de queso parmesano rallado
* 60 ml de crema de leche (mín. 30% grasa)
* 30 g de harina de almendra
* 15 g de perejil fresco picado
* 5 g de tomillo seco
* 5 g de romero seco
* Sal marina, al gusto (aproximadamente 5 g)
* Pimienta negra recién molida, al gusto
* 30 ml de aceite de oliva para saltear

Para la salsa de champiñones:
* 250 g de champiñones frescos, laminados
* 1 chalota (aproximadamente 40 g), finamente picada
* 150 ml de caldo de carne 
* 100 ml de crema de leche (mín. 30% grasa)
* 15 g de mantequilla sin sal
* 10 ml de aceite de oliva
* Sal y pimienta negra, al gusto

Para el puré de coliflor:
* 1 coliflor mediana (aproximadamente 600 g), cortada en floretes
* 60 g de queso crema
* 30 g de mantequilla sin sal
* 30 g de queso parmesano rallado
* Sal y pimienta negra, al gusto
* 1 diente de ajo (aproximadamente 3 g), picado fino

### Instrucciones

#### Pastel de carne:
1. Precalienta el horno a 180 °C (temperatura superior e inferior).
2. En una sartén grande, calienta el aceite de oliva a fuego medio y saltea la cebolla y el ajo hasta que estén transparentes (unos 5 minutos). Reserva y deja enfriar.
3. En un bol amplio, mezcla la carne molida de res, carne molida de cerdo, huevos, parmesano, crema de leche, harina de almendra, perejil, tomillo, romero, sal y pimienta.
4. Añade la mezcla de cebolla y ajo enfriada. Mezcla suavemente con las manos limpias o una cuchara grande hasta integrar todos los ingredientes, pero sin trabajar demasiado para no compactar la mezcla.
5. Coloca la mezcla en un molde para pastel de aproximadamente 20x10 cm, presionando ligeramente para darle forma.
6. Hornea durante 50-60 minutos, hasta que esté bien cocido y dorado en la superficie.

#### Salsa de champiñones:
7. Mientras el pastel cocina, en una sartén grande calienta la mantequilla con el aceite de oliva.
8. Añade la chalota y saltea hasta que esté suave (3 minutos), luego incorpora los champiñones y cocina hasta que estén dorados y hayan soltado su agua (8-10 minutos).
9. Vierte el caldo de carne y deja reducir a fuego medio hasta que quede la mitad del líquido.
10. Añade la crema de leche, sazona con sal y pimienta y cocina a fuego bajo hasta que la salsa espese ligeramente (unos 5 minutos). Reserva caliente.

#### Puré de coliflor:
11. Cocina los floretes de coliflor al vapor hasta que estén muy tiernos (unos 15-20 minutos).
12. Coloca la coliflor cocida en un procesador de alimentos junto con el queso crema, mantequilla, parmesano, ajo, sal y pimienta.
13. Procesa hasta obtener un puré suave y homogéneo. Ajusta la sal y pimienta al gusto.

#### Montaje:
14. Saca el pastel de carne del horno y déjalo reposar 10 minutos antes de desmoldar y cortar.
15. Sirve una porción del pastel acompañado con una generosa porción de puré de coliflor y bañado con la salsa de champiñones.

### Consejos
* Para un toque extra de sabor, puedes añadir unas gotas de salsa Worcestershire a la mezcla de carne.
* Si quieres que la salsa sea aún más rica, incorpora un poco de queso crema o crema agria.
* Para verificar la cocción del pastel, puedes usar un termómetro de cocina: debe alcanzar 70 °C en el centro.

Disfruta esta experiencia gastronómica americana keto, cuidada al detalle y llena de sabor. ¡Buen provecho!"
"""Can anyone share an easy and quick halal Mexican recipe? I’ve got basic ingredients at home and I’m just starting out in the kitchen!""","(halal, general_pantry, Mexican, beginner_easy_low_effort, quick_under_30_mins, natural_question_moderate_detail)","## Tacos Simples Halal de Pollo

Un plato mexicano fácil y rápido de preparar, perfecto para principiantes. Estos tacos son sabrosos, usan ingredientes básicos y son halal al utilizar pollo limpio y condimentos naturales.

### Ingredientes
* 300 g de pechuga de pollo sin piel y sin hueso, cortada en tiras pequeñas
* 6 tortillas de maíz (cada una alrededor de 25 g)
* 1 cebolla pequeña (aproximadamente 100 g), picada finamente
* 1 diente de ajo (5 g), picado
* 1 tomate mediano (aproximadamente 150 g), picado en cubos pequeños
* 15 ml de aceite de oliva
* 1 cucharadita (5 g) de comino molido
* 1 cucharadita (5 g) de pimentón dulce o paprika
* Sal al gusto (aproximadamente 2 g)
* Pimienta negra molida al gusto (aproximadamente 1 g)
* Un puñado de cilantro fresco (aproximadamente 10 g), picado para decorar
* Jugo de ½ limón (aproximadamente 15 ml)

### Instrucciones
1. Calienta el aceite de oliva en una sartén mediana a fuego medio.
2. Añade la cebolla y el ajo picados, y sofríe durante 2-3 minutos hasta que estén transparentes y aromáticos.
3. Incorpora las tiras de pollo, el comino, pimentón, sal y pimienta. Cocina durante 6-8 minutos o hasta que el pollo esté bien cocido y dorado, removiendo ocasionalmente.
4. Añade el tomate picado y cocina por 2 minutos más para que se integren los sabores.
5. Calienta las tortillas en otra sartén por 1 minuto de cada lado o hasta que estén flexibles y ligeramente doradas.
6. Para armar los tacos, distribuye el pollo sobre cada tortilla.
7. Exprime un poco de jugo de limón sobre los tacos y decora con cilantro picado.
8. Sirve de inmediato y disfruta.

### Consejos
* Puedes agregar un poco de salsa picante o guacamole si te gusta un toque extra de sabor.
* Acompaña con una ensalada fresca o arroz para complementar la comida.

¡Que disfrutes de tus deliciosos tacos halal de pollo, perfectos para comenzar en la cocina con sabores mexicanos!"
"""I need a paleo recipe, but I definitely must use specific ingredients from my pantry! I’m looking for an Italian dish and I’m okay with intermediate effort around 45 mins. Any suggestions?""","(paleo, must_use_specific, Italian, intermediate_moderate_effort, moderate_30_to_60_mins, detailed_request_high_detail)","Claro, para una receta paleo italiana con un esfuerzo intermedio y un tiempo aproximado de 45 minutos, ¿podrías indicarme cuáles ingredientes específicos tienes disponibles en tu despensa? Así podré sugerirte una receta que se adapte perfectamente a lo que tienes y cumpla con el estilo paleo y el toque italiano que deseas."
"""Hi! I'm looking for a low-sodium Indian dish I can make quickly. Nothing complicated, just an easy recipe with general pantry ingredients that I can whip up in under 30 mins. Help!""","(low-sodium, no_specific_ingredients, Indian, beginner_easy_low_effort, quick_under_30_mins, short_keywords_minimal_detail)","## Curry Rápido de Garbanzos (Chana Masala Ligero)
Una deliciosa y nutritiva receta india baja en sodio, perfecta para preparar en menos de 30 minutos con ingredientes básicos de despensa. Este plato es reconfortante, fácil y lleno de sabor sin necesidad de sal añadida.

### Ingredientes
* 400 g de garbanzos cocidos (pueden ser de lata, enjuagados para reducir sodio)
* 1 cebolla mediana (aproximadamente 150 g), picada finamente
* 2 tomates medianos (aproximadamente 200 g), picados
* 2 dientes de ajo, picados finamente (aproximadamente 6 g)
* 15 g de jengibre fresco, rallado
* 1 cucharada (15 ml) de aceite de oliva o de coco
* 1 cucharadita (3 g) de comino en polvo
* 1 cucharadita (3 g) de cilantro en polvo
* 1 cucharadita (3 g) de cúrcuma en polvo
* 1/2 cucharadita (1.5 g) de garam masala
* 1/2 cucharadita (1 g) de chile en polvo (opcional)
* 100 ml de agua
* Jugo de medio limón (aproximadamente 15 ml)
* Cilantro fresco picado para decorar (opcional)

### Instrucciones
1. Calienta el aceite en una sartén grande a fuego medio.
2. Añade la cebolla picada y sofríe durante 5 minutos hasta que esté transparente y ligeramente dorada.
3. Agrega el ajo y el jengibre rallado, cocina por 1 minuto más, removiendo para que no se quemen.
4. Incorpora los tomates picados y cocina hasta que estén blandos y hayan soltado su jugo, aproximadamente 5 minutos.
5. Añade el comino, cilantro, cúrcuma, garam masala y chile en polvo (si lo usas). Mezcla bien y cocina por 1-2 minutos para que las especias suelten su aroma.
6. Agrega los garbanzos cocidos y mezcla bien para que se impregnen con la salsa.
7. Vierte el agua y deja cocinar a fuego bajo por 10 minutos, con la sartén tapada, para que los sabores se integren.
8. Al final, añade el jugo de limón y mezcla.
9. Sirve caliente, decorado con cilantro fresco si deseas.

### Consejos
* Si deseas un curry más cremoso, puedes añadir 50 ml de leche de coco al final de la cocción.
* Acompaña con arroz basmati integral para una comida completa y equilibrada.

¡Listo para disfrutar un plato indio lleno de sabor, rápido y saludable!"
"""Can anyone tell me about a good keto recipe using what's in my pantry? No specifics needed, but it should be complex and I have all the time in the world to cook!""","(keto, general_pantry, any_cuisine, advanced_complex_high_effort, flexible_no_time_constraint, natural_question_moderate_detail)","## Estofado Keto de Carne con Verduras y Hierbas Aromáticas
Este estofado keto es una receta compleja y reconfortante que aprovecha ingredientes comunes en la despensa, ideal para quienes tienen tiempo y desean una comida nutritiva y llena de sabor sin carbohidratos excesivos.

### Ingredientes
* 500 g de carne de res para guisar, cortada en cubos de 3 cm
* 2 cucharadas (30 ml) de aceite de oliva virgen extra
* 1 cebolla grande (aproximadamente 150 g), picada fina
* 3 dientes de ajo (aproximadamente 10 g), picados finamente
* 200 g de champiñones frescos, laminados
* 2 ramas de apio (aproximadamente 120 g), en rodajas de 5 mm
* 1 pimiento rojo (aproximadamente 150 g), cortado en cubos de 2 cm
* 200 ml de caldo de carne sin azúcar añadido
* 100 ml de vino tinto seco (opcional, para profundidad de sabor)
* 1 cucharada (15 g) de tomate concentrado (sin azúcares añadidos)
* 1 cucharadita de pimentón dulce (5 g)
* 2 hojas de laurel
* 1 ramita de romero fresco
* 1 ramita de tomillo fresco
* Sal marina y pimienta negra recién molida al gusto

### Instrucciones
1. Calienta el aceite de oliva en una olla grande a fuego medio-alto hasta que brille.
2. Añade los cubos de carne y dóralos por todos lados, aproximadamente 6-8 minutos, evitando amontonar la carne para un buen sellado. Retira y reserva.
3. En la misma olla, agrega la cebolla y el ajo; sofríe suavemente durante 4-5 minutos hasta que estén transparentes y fragantes.
4. Incorpora los champiñones, apio y pimiento rojo; cocina por 6-7 minutos hasta que las verduras empiecen a ablandarse.
5. Añade el tomate concentrado, pimentón dulce, y mezcla bien para integrar los sabores.
6. Vierte el vino tinto y deja reducir durante 3-4 minutos para evaporar el alcohol y concentrar sabores.
7. Devuelve la carne a la olla, añade el caldo de carne, las hojas de laurel, romero y tomillo.
8. Sazona con sal y pimienta al gusto, lleva a ebullición, luego reduce el fuego a bajo y tapa la olla.
9. Cocina a fuego lento durante 2 horas, removiendo ocasionalmente, hasta que la carne esté tierna y la salsa haya espesado ligeramente.
10. Retira las hierbas antes de servir. Sirve el estofado caliente, ideal acompañado de un puré de coliflor para mantener la receta keto.

### Consejos
* Puedes añadir un poco de crema o queso crema al final para dar un toque cremoso sin añadir carbohidratos.
* Si quieres más verduras, incorpora calabacín o berenjena cortados en cubos, pero sin sobrecargar para mantener la baja cantidad de carbohidratos.
* Esta receta mejora si se deja reposar un día, intensificando los sabores.

Disfruta este estofado keto elaborado con paciencia, perfecto para una comida que llena y satisface sin salirte de tu plan. ¡Buen provecho!"
"""I'm searching for a dairy-free French recipe with specific ingredients I have. It should be an intermediate dish, around 60 mins of cooking time. Can anyone point me in the right direction?""","(dairy-free, must_use_specific, French, intermediate_moderate_effort, moderate_30_to_60_mins, detailed_request_high_detail)","Para ayudarte mejor, ¿podrías indicarme cuáles ingredientes específicos tienes disponibles? Así podré recomendarte una receta francesa sin lácteos que se ajuste a lo que tienes y a tu preferencia de tiempo y dificultad. ¡Espero tu respuesta para sugerirte un plato delicioso!"
"""Need a veggie recipe, no specifics. I'm trying to avoid dairy and meat, and I want something really easy that I can prepare quickly in under half an hour.""","(vegetarian, no_specific_ingredients, avoid_specific, beginner_easy_low_effort, quick_under_30_mins, short_keywords_minimal_detail)","## Salteado Rápido de Verduras con Garbanzos

Un plato nutritivo, fácil y rápido de preparar, lleno de sabor y totalmente libre de productos animales. Perfecto para una comida ligera y saludable en menos de 30 minutos.

### Ingredientes
* 200 g de garbanzos cocidos (pueden ser de lata, enjuagados y escurridos)
* 1 pimiento rojo mediano (aproximadamente 150 g), cortado en tiras de 1 cm
* 1 calabacín mediano (aproximadamente 150 g), cortado en medias lunas de 0.5 cm
* 1 cebolla pequeña (aproximadamente 100 g), picada finamente
* 2 dientes de ajo, picados finamente
* 15 ml de aceite de oliva virgen extra
* 1 cucharadita (5 g) de comino molido
* 1 cucharadita (5 g) de pimentón dulce
* Sal marina al gusto
* Pimienta negra molida al gusto
* Un puñado de perejil fresco picado (aproximadamente 10 g) para decorar

### Instrucciones
1. Calienta el aceite de oliva en una sartén grande a fuego medio.
2. Añade la cebolla picada y el ajo, sofríe durante 3 minutos hasta que estén transparentes y fragantes.
3. Incorpora el pimiento rojo y el calabacín, cocina removiendo de vez en cuando durante 5-7 minutos hasta que las verduras estén tiernas pero todavía crujientes.
4. Agrega los garbanzos cocidos, el comino y el pimentón dulce. Mezcla bien para integrar todos los sabores.
5. Cocina durante 5 minutos más, removiendo ocasionalmente, para que los garbanzos se calienten y absorban el sabor de las especias.
6. Salpimienta al gusto y retira del fuego.
7. Sirve caliente, decorando con el perejil fresco picado por encima.

### Consejos
* Puedes acompañar este salteado con arroz integral o pan integral para una comida completa.
* Para un toque picante, añade una pizca de chili en polvo junto con las especias.
* Si no tienes garbanzos a la mano, lentejas cocidas también funcionan muy bien en esta receta.

¡Listo para disfrutar de un plato sano, sabroso y en un abrir y cerrar de ojos!"
"""Hey, I'm a pescatarian looking to make a Mediterranean dish with general pantry items. It should be intermediate cooking level and take about an hour. Any recommendations?""","(pescatarian, general_pantry, Mediterranean, intermediate_moderate_effort, moderate_30_to_60_mins, natural_question_moderate_detail) ","## Pisto Mediterráneo con Huevos Escalfados y Queso Feta
Un plato mediterráneo de verduras guisadas con un toque fresco de queso feta y huevos escalfados, ideal para un pescatariano que quiere disfrutar de sabores tradicionales y saludable.

### Ingredientes
* 3 berenjenas medianas (aproximadamente 600 g), cortadas en cubos de 2 cm
* 2 calabacines medianos (aproximadamente 400 g), cortados en cubos de 2 cm
* 1 pimiento rojo grande (aproximadamente 150 g), cortado en tiras de 5 mm
* 1 cebolla grande (aproximadamente 150 g), picada fina
* 3 tomates maduros grandes (aproximadamente 400 g), pelados y picados
* 3 dientes de ajo, picados finamente
* 60 ml de aceite de oliva virgen extra
* 1 cucharadita de pimentón dulce (5 g)
* 1 cucharadita de tomillo seco (1 g)
* Sal marina y pimienta negra al gusto
* 4 huevos frescos
* 100 g de queso feta desmenuzado
* 15 g de hojas frescas de albahaca o perejil para decorar

### Instrucciones
1. Calienta el aceite de oliva en una sartén grande a fuego medio. Añade la cebolla y el ajo picado y sofríe durante 5 minutos, hasta que estén transparentes y fragantes.
2. Agrega las berenjenas, calabacines y pimiento rojo. Cocina, removiendo ocasionalmente, durante 15 minutos o hasta que las verduras estén tiernas y ligeramente doradas.
3. Añade el tomate picado, el pimentón, tomillo, sal y pimienta. Reduce el fuego a bajo, tapa y deja cocinar a fuego lento durante 20 minutos, removiendo de vez en cuando para evitar que se pegue.
4. Mientras tanto, en una olla con agua hirviendo y una pizca de sal, escalfar los huevos. Para ello, crea un remolino con una cuchara y rompe el huevo suavemente dentro. Cocina durante 3-4 minutos hasta que la clara esté firme pero la yema aún líquida. Repite con cada huevo.
5. Sirve el pisto caliente en platos individuales, coloca un huevo escalfado encima y espolvorea con el queso feta desmenuzado y las hojas frescas de albahaca o perejil.
6. Añade un chorrito de aceite de oliva virgen extra si deseas y disfruta de esta explosión mediterránea.

### Consejos
* Puedes acompañar este plato con pan integral tostado para aprovechar la salsa del pisto.
* Si prefieres un sabor más suave, retira las semillas de los pimientos antes de cortarlos.
* Para un toque extra, agrega unas aceitunas negras al pisto en los últimos minutos de cocción.

¡Disfruta de este reconfortante plato mediterráneo lleno de color y sabor!"
